District Code,District Name,School Code,School Name,GradeSpan,Percent Unexcused Absences
17412,Shoreline School District,2185,Lake Forest Park Elementary,K-6       ,0.15%
17412,Shoreline School District,3527,Melvin G Syre Elementary,K-6       ,0.12%
17412,Shoreline School District,3958,Meridian Park Elementary School,K-6       ,0.27%
17412,Shoreline School District,3489,Parkwood Elementary,K-6       ,0.79%
17412,Shoreline School District,2703,Ridgecrest Elementary,K-6       ,0.21%
17404,Skykomish School District,2512,Skykomish Elementary School,PK-8      ,1.01%
31201,Snohomish School District,4366,Cascade View Elementary,K-6       ,0.97%
31201,Snohomish School District,3305,Cathcart Elementary,K-6       ,0.02%
31201,Snohomish School District,4395,Centennial Middle School,7-8       ,1.09%
31201,Snohomish School District,2446,Central Elementary,K-2       ,0.16%
31201,Snohomish School District,4241,Dutch Hill Elementary,K-6       ,0.63%
31201,Snohomish School District,3005,Emerson Elementary,3-6       ,0.77%
31201,Snohomish School District,5100,Little Cedars Elementary School,K-6       ,0.2%
31201,Snohomish School District,2073,Machias Elementary,K-6       ,1.06%
31201,Snohomish School District,1904,Parent Partnership,K-12      ,1.55%
31201,Snohomish School District,3561,Riverview Elementary,K-6       ,0.68%
31201,Snohomish School District,4184,Seattle Hill Elementary,K-6       ,0.3%
31201,Snohomish School District,4383,Totem Falls,K-6       ,0.13%
31201,Snohomish School District,4145,Valley View Middle School,7-8       ,0.69%
17410,Snoqualmie Valley School District,5015,Cascade View Elementary School,K-5       ,0%
17410,Snoqualmie Valley School District,4397,Chief Kanim Middle School,6-8       ,0.29%
17410,Snoqualmie Valley School District,4308,Edwin R Opstad Elementary,PK-5      ,0.04%
17410,Snoqualmie Valley School District,2222,Fall City Elementary,K-5       ,0.03%
17410,Snoqualmie Valley School District,2287,North Bend Elementary School,K-5       ,0%
17410,Snoqualmie Valley School District,2288,Snoqualmie Elementary,PK-5      ,0.01%
17410,Snoqualmie Valley School District,5135,Twin Falls Middle School,6-8       ,0.23%
17410,Snoqualmie Valley School District,1502,Two Rivers School,6-12      ,1.52%
13156,Soap Lake School District,2694,Soap Lake Elementary,K-5       ,0%
13156,Soap Lake School District,3089,Soap Lake Middle & High School,6-12      ,2.9%
25118,South Bend School District,2804,Chauncey Davis Elementary,K-6       ,0%
25118,South Bend School District,2214,South Bend High School,7-12      ,0.09%
18402,South Kitsap School District,4029,Burley Glenwood Elementary,PK-5      ,1.15%
18402,South Kitsap School District,3680,Cedar Heights Middle School,6-8       ,0.5%
18402,South Kitsap School District,2641,East Port Orchard Elementary,K-5       ,0.09%
18402,South Kitsap School District,4348,Hidden Creek Elementary School,K-5       ,0.72%
18402,South Kitsap School District,4142,John Sedgwick Middle School,6-8       ,0.03%
18402,South Kitsap School District,4079,Manchester Elementary School,K-5       ,0.11%
18402,South Kitsap School District,3046,Marcus Whitman Middle School,6-8       ,0.14%
18402,South Kitsap School District,4350,Mullenix Ridge Elementary School,K-5       ,0.08%
18402,South Kitsap School District,2995,Olalla Elementary School,K-5       ,0.07%
18402,South Kitsap School District,2650,Orchard Heights Elementary,2-5       ,0.07%
18402,South Kitsap School District,4349,Sidney Glen Elementary School,K-5       ,0.29%
18402,South Kitsap School District,3110,South Colby Elementary,K-5       ,0.26%
18402,South Kitsap School District,4141,Sunnyslope Elementary School,PK-5      ,0.34%
15206,South Whidbey School District,4321,South Whidbey Elementary,K-6       ,0.69%
15206,South Whidbey School District,2511,South Whidbey Middle,7-8       ,2.45%
32081,Spokane School District,2381,Arlington Elementary,PK-6      ,1.72%
32081,Spokane School District,2128,Audubon Elementary,PK-6      ,1.29%
32081,Spokane School District,3357,Balboa Elementary,PK-6      ,0.56%
32081,Spokane School District,2155,Bemiss Elementary,PK-6      ,1.62%
32081,Spokane School District,2218,Browne Elementary,PK-6      ,0.79%
32081,Spokane School District,4457,Chase Middle School,7-8       ,1.33%
32081,Spokane School District,2129,Cooper Elementary,PK-6      ,0.3%
32081,Spokane School District,1567,Eagle Peak at Pratt,3-12      ,13.45%
32081,Spokane School District,2312,Finch Elementary,PK-6      ,0.64%
32081,Spokane School District,2127,Franklin Elementary,PK-6      ,0.37%
32081,Spokane School District,3727,Garfield Elementary,PK-6      ,1.91%
32081,Spokane School District,3758,Garry Middle School,7-8       ,2.38%
32081,Spokane School District,3258,Glover Middle School,7-8       ,1.14%
32081,Spokane School District,3729,Grant Elementary,PK-6      ,1.71%
32081,Spokane School District,3007,Hamblen Elementary,PK-6      ,0.21%
32081,Spokane School District,2056,Holmes Elementary,PK-6      ,2.5%
32081,Spokane School District,2258,Hutton Elementary,PK-6      ,0.18%
32081,Spokane School District,3506,Indian Trail Elementary,PK-6      ,0.27%
32081,Spokane School District,2111,Jefferson Elementary,PK-6      ,0.15%
32081,Spokane School District,2401,Libby Center,K-8       ,0.38%
32081,Spokane School District,2952,Lidgerwood Elementary,PK-6      ,0.84%
32081,Spokane School District,2951,Lincoln Heights Elementary,PK-6      ,0.31%
32081,Spokane School District,3190,Linwood Elementary,PK-6      ,0.97%
32081,Spokane School District,3719,Logan Elementary,PK-6      ,0.34%
32081,Spokane School District,3718,Longfellow Elementary,PK-6      ,1.35%
32081,Spokane School District,2708,Madison Elementary,K-6       ,0.59%
32081,Spokane School District,4389,Moran Prairie Elementary,PK-6      ,0.05%
32081,Spokane School District,4035,Mullan Road Elementary,PK-6      ,0.22%
32081,Spokane School District,2106,North Central High School,7-12      ,0.54%
32081,Spokane School District,2096,Regal Elementary,PK-6      ,1.03%
32081,Spokane School District,2950,Ridgeview Elementary,PK-6      ,0.5%
32081,Spokane School District,2086,Roosevelt Elementary,PK-6      ,0.84%
32081,Spokane School District,3356,Sacajawea Middle School,7-8       ,1.18%
32081,Spokane School District,3413,Salk Middle School,6-8       ,0.93%
32081,Spokane School District,3257,Shaw Middle School,6-8       ,0.69%
32081,Spokane School District,2110,Sheridan Elementary,PK-6      ,0.67%
32081,Spokane School District,5361,Spokane Public Montessori,PK-8      ,0.08%
32081,Spokane School District,2108,Stevens Elementary,PK-6      ,1.59%
32081,Spokane School District,3063,Westview Elementary,PK-6      ,1.04%
32081,Spokane School District,2191,Whitman Elementary,PK-6      ,0.88%
32081,Spokane School District,2109,Willard Elementary,PK-6      ,1.06%
32081,Spokane School District,2296,Wilson Elementary,PK-6      ,0.21%
32081,Spokane School District,4192,Woodridge Elementary,PK-6      ,0.06%
22008,Sprague School District,3050,Sprague Elementary,K-4       ,0.59%
31401,Stanwood-Camano School District,4513,Cedarhome Elementary School,K-5       ,0.28%
31401,Stanwood-Camano School District,4553,Elger Bay Elementary,K-5       ,0.95%
31401,Stanwood-Camano School District,5108,Lincoln Academy,6-8       ,2.06%
31401,Stanwood-Camano School District,4512,Port Susan Middle School,6-8       ,0.6%
31401,Stanwood-Camano School District,3125,Stanwood Elementary School,PK-5      ,0.09%
31401,Stanwood-Camano School District,2400,Stanwood Middle School,6-8       ,0.66%
31401,Stanwood-Camano School District,4364,Twin City Elementary,K-5       ,0.08%
31401,Stanwood-Camano School District,4551,Utsalady Elementary,K-5       ,0.42%
27001,Steilacoom Hist. School District,2040,Anderson Island Elementary,K-5       ,0.32%
27001,Steilacoom Hist. School District,3446,Cherrydale Elementary,K-3       ,1.17%
27001,Steilacoom Hist. School District,4562,Chloe Clark Elementary,K-3       ,0.11%
27001,Steilacoom Hist. School District,2237,Pioneer Middle,6-8       ,0.53%
27001,Steilacoom Hist. School District,3827,Saltars Point Elementary,4-5       ,0.74%
38304,Steptoe School District,2115,Steptoe Elementary School,PK-8      ,0.12%
30303,Stevenson-Carson School District,2882,Carson Elementary,3-6       ,0.35%
30303,Stevenson-Carson School District,2682,Stevenson Elementary,K-2       ,0%
30303,Stevenson-Carson School District,3800,Wind River Middle School,7-8       ,2.23%
31311,Sultan School District,4399,Gold Bar Elementary,K-5       ,1.05%
31311,Sultan School District,2229,Sultan Elementary School,K-5       ,0.14%
31311,Sultan School District,2105,Sultan Middle School,6-8       ,1.47%
17905,Summit Public School: Atlas,5469,Summit Public School: Atlas,6-12      ,2.65%
27320,Sumner School District,3349,Bonney Lake Elementary,PK-5      ,0.4%
27320,Sumner School District,4435,Crestwood Elementary,PK-5      ,0.5%
27320,Sumner School District,4541,Daffodil Valley Elementary,PK-5      ,0.29%
27320,Sumner School District,3399,Eismann Elementary,PK-5      ,0%
27320,Sumner School District,4250,Emerald Hills Elementary,K-5       ,0.11%
27320,Sumner School District,4132,Lakeridge Middle School,6-8       ,0.87%
27320,Sumner School District,4402,Liberty Ridge Elementary,PK-5      ,0.45%
27320,Sumner School District,2875,Maple Lawn Elementary,PK-5      ,0.31%
27320,Sumner School District,4502,Mountain View Middle School,6-8       ,0.09%
27320,Sumner School District,3499,Sumner Middle School,6-8       ,0.39%
27320,Sumner School District,4166,Victor Falls Elementary,PK-5      ,0.51%
39201,Sunnyside School District,4000,Chief Kamiakin Elementary School,PK-5      ,1.27%
39201,Sunnyside School District,3313,Harrison Middle School,6-8       ,2.49%
39201,Sunnyside School District,2469,Outlook Elementary School,PK-5      ,1.4%
39201,Sunnyside School District,4497,Pioneer Elementary School,PK-5      ,0.32%
39201,Sunnyside School District,5049,Sierra Vista Middle School,6-8       ,2.02%
39201,Sunnyside School District,2717,Washington Elementary,PK-5      ,0.59%
27010,Tacoma School District,3449,Birney,PK-5      ,2.9%
27010,Tacoma School District,3646,Boze,PK-5      ,0.06%
27010,Tacoma School District,2872,Browns Point,K-5       ,0.24%
27010,Tacoma School District,2871,Edison,PK-5      ,2.22%
27010,Tacoma School District,2167,Fern Hill,PK-5      ,1.38%
27010,Tacoma School District,2247,Northeast Tacoma,PK-5      ,0.69%
14077,Taholah School District,5032,Taholah Elementary & Middle School,K-8       ,3.82%
17409,Tahoma School District,5489,Cedar River Elementary,PK-5      ,0.17%
17409,Tahoma School District,4453,Glacier Park Elementary,PK-5      ,0.57%
17409,Tahoma School District,3286,Lake Wilderness Elementary,PK-5      ,0.58%
17409,Tahoma School District,3937,Maple View Middle School,6-8       ,0.35%
17409,Tahoma School District,4415,Rock Creek Elementary,PK-5      ,0.15%
17409,Tahoma School District,3589,Shadow Lake Elementary,PK-5      ,0.67%
17409,Tahoma School District,3341,Summit Trail Middle School,6-8       ,0.06%
17409,Tahoma School District,5490,Tahoma Elementary,PK-5      ,0.03%
34402,Tenino School District,2457,Parkside Elementary,K-2       ,0.1%
34402,Tenino School District,4238,Tenino Elementary School,3-5       ,1.01%
34402,Tenino School District,3795,Tenino Middle School,6-8       ,0.49%
24404,Tonasket School District,3176,Tonasket Elementary School,PK-5      ,0.23%
24404,Tonasket School District,4196,Tonasket Middle School,6-8       ,0.56%
39202,Toppenish School District,2608,Garfield Elementary School,K-5       ,0.41%
39202,Toppenish School District,2635,Lincoln Elementary School,K-5       ,0.79%
39202,Toppenish School District,2264,Toppenish Middle School,6-8       ,2.38%
39202,Toppenish School District,4588,Valley View Elementary,K-5       ,0.19%
36300,Touchet School District,2160,Touchet Elem & High School,K-12      ,0.33%
08130,Toutle Lake School District,4264,Toutle Lake Elementary,K-6       ,0.1%
08130,Toutle Lake School District,2560,Toutle Lake High School,7-12      ,0.39%
34033,Tumwater School District,4205,Black Lake Elementary,K-5       ,0.46%
34033,Tumwater School District,4365,East Olympia Elementary,K-5       ,0.71%
34033,Tumwater School District,4452,George Washington Bush Middle Sch,6-8       ,1.01%
34033,Tumwater School District,2816,Littlerock Elementary School,K-5       ,0.5%
34033,Tumwater School District,2552,Michael T Simmons Elementary,K-5       ,0.67%
34033,Tumwater School District,3199,Peter G Schmidt Elementary,K-5       ,0.46%
34033,Tumwater School District,4373,Tumwater Hill Elementary,K-5       ,0.52%
34033,Tumwater School District,3612,Tumwater Middle School,6-8       ,0.4%
50001,Unaffiliated Tribal Schools,4110,Chief Leschi Schools,K-12      ,12.23%
50001,Unaffiliated Tribal Schools,4278,Paschal Sherman,PK-9      ,2.55%
39002,Union Gap School District,2714,Union Gap School,PK-8      ,0.76%
27083,University Place School District,3792,Chambers Elementary,K-4       ,0.05%
27083,University Place School District,3179,Curtis Junior High,8-9       ,0.69%
27083,University Place School District,4325,Drum Intermediate,5-7       ,0.08%
27083,University Place School District,4447,Evergreen Primary,PK-4      ,0.68%
27083,University Place School District,3296,Narrows View Intermediate,5-7       ,0.71%
27083,University Place School District,3601,Sunset Primary,K-4       ,1.19%
27083,University Place School District,2223,University Place Primary,PK-4      ,0.58%
33070,Valley School District,2405,Valley School,K-8       ,0.57%
06037,Vancouver School District,4406,Alki Middle School,6-8       ,0.13%
06037,Vancouver School District,3080,Benjamin Franklin Elementary,K-5       ,0.64%
06037,Vancouver School District,4405,Chinook Elementary School,K-5       ,0.61%
06037,Vancouver School District,4503,Discovery Middle School,6-8       ,2.39%
06037,Vancouver School District,3733,Dwight D Eisenhower Elementary,K-5       ,1.61%
06037,Vancouver School District,4075,Felida Elementary School,K-5       ,0.22%
06037,Vancouver School District,1574,Fir Grove Childrens Center,K-12      ,0.14%
06037,Vancouver School District,2637,Fruit Valley Elementary School,K-5       ,0.55%
06037,Vancouver School District,3902,Gaiser Middle School,6-8       ,1.54%
06037,Vancouver School District,3424,George C Marshall Elementary,K-5       ,1.19%
06037,Vancouver School District,2643,Harney Elementary School,K-5       ,0.45%
06037,Vancouver School District,3735,Harry S Truman Elementary School,K-5       ,2.67%
06037,Vancouver School District,2690,Hazel Dell Elementary School,K-5       ,2.26%
06037,Vancouver School District,2610,Hough Elementary School,K-5       ,1.54%
06037,Vancouver School District,3543,Jason Lee Middle School,6-8       ,0.75%
06037,Vancouver School District,4591,Jefferson Middle School,6-8       ,1.13%
06037,Vancouver School District,3017,Lake Shore Elementary,K-5       ,0.92%
06037,Vancouver School District,2318,Lincoln Elementary School,K-5       ,1.09%
06037,Vancouver School District,3734,Martin Luther King Elementary,K-5       ,1.59%
06037,Vancouver School District,3146,Mcloughlin Middle School,6-8       ,2.61%
06037,Vancouver School District,2723,Minnehaha Elementary School,K-5       ,0.53%
06037,Vancouver School District,2644,Peter S Ogden Elementary,K-5       ,0.99%
06037,Vancouver School District,4410,Roosevelt Elementary School,K-5       ,2.42%
06037,Vancouver School District,4034,Sacajawea Elementary School,K-5       ,1.16%
06037,Vancouver School District,2964,Salmon Creek Elementary,K-5       ,0.1%
06037,Vancouver School District,3016,Sarah J Anderson Elementary,K-5       ,1.95%
06037,Vancouver School District,3556,Vancouver Home Connection,K-12      ,2.44%
06037,Vancouver School District,5271,Vancouver iTech Preparatory,6-12      ,0.17%
06037,Vancouver School District,1689,Vancouver School of Arts and Academics,6-12      ,0.36%
06037,Vancouver School District,2828,Walnut Grove Elementary,K-5       ,0.78%
06037,Vancouver School District,3565,Washington Elementary,K-5       ,1.35%
17402,Vashon Island School District,4468,Chautauqua Elementary,PK-5      ,0.83%
17402,Vashon Island School District,3667,McMurray Middle School,6-8       ,0.34%
34901,WA HE LUT Indian School Agency,5496,Wa He Lut Indian School,K-8       ,7.91%
35200,Wahkiakum School District,2893,Julius A Wendt Elementary/John C Thomas Middle School,K-8       ,0.19%
13073,Wahluke School District,3152,Mattawa Elementary,K-5       ,0.18%
13073,Wahluke School District,4222,Morris Schott Elementary,K-5       ,0.89%
13073,Wahluke School District,4490,Saddle Mountain Elementary,K-5       ,1.69%
13073,Wahluke School District,5144,Wahluke Junior High,6-8       ,0.43%
36401,Waitsburg School District,2174,Preston Hall Middle School,6-8       ,1.39%
36401,Waitsburg School District,2712,Waitsburg Elementary School,K-5       ,0.13%
36140,Walla Walla Public Schools,2074,Berney Elementary School,K-5       ,0.18%
36140,Walla Walla Public Schools,4193,Blue Ridge Elementary,PK-5      ,1%
36140,Walla Walla Public Schools,2528,Edison Elementary School - Walla Walla,K-5       ,0.37%
36140,Walla Walla Public Schools,3510,Garrison Middle School,6-8       ,0.39%
36140,Walla Walla Public Schools,2078,Green Park Elementary School,K-5       ,0.39%
36140,Walla Walla Public Schools,2780,Pioneer Middle School,6-8       ,0.46%
36140,Walla Walla Public Schools,2159,Prospect Point Elementary,K-5       ,0.05%
36140,Walla Walla Public Schools,3728,Sharpstein Elementary School,K-5       ,0.37%
39207,Wapato School District,4518,Adams Elementary,K-5       ,2.02%
39207,Wapato School District,2757,Satus Elementary,PK-5      ,2.06%
06112,Washougal School District,4549,Canyon Creek Middle School,6-8       ,0.88%
06112,Washougal School District,3270,Cape Horn Skye Elementary,K-5       ,0.34%
06112,Washougal School District,5494,Columbia River Gorge Elementary School,K-5       ,0.43%
06112,Washougal School District,2911,Gause Elementary,K-5       ,0.18%
06112,Washougal School District,2509,Hathaway Elementary,K-5       ,0.17%
06112,Washougal School District,4207,Jemtegaard Middle School,6-8       ,0.95%
01109,Washtucna School District,3075,Washtucna Elementary/High School,PK-12     ,1.22%
09209,Waterville School District,2161,Waterville Elementary,K-5       ,0.04%
09209,Waterville School District,2162,Waterville High School,6-12      ,0.08%
33049,Wellpinit School District,2549,Wellpinit Elementary School,K-5       ,2.42%
33049,Wellpinit School District,4232,Wellpinit Middle School,6-8       ,1.03%
04246,Wenatchee School District,3209,Abraham Lincoln Elementary,K-5       ,0.38%
04246,Wenatchee School District,2301,Columbia Elementary School,K-5       ,0.26%
04246,Wenatchee School District,4432,Foothills Middle School,6-8       ,0.21%
04246,Wenatchee School District,4423,John Newbery Elementary,K-5       ,0.52%
04246,Wenatchee School District,2279,Lewis And Clark Elementary Sch,K-5       ,0.23%
04246,Wenatchee School District,2347,Mission View Elementary School,K-5       ,0.36%
04246,Wenatchee School District,3370,Orchard Middle School,6-8       ,0.6%
04246,Wenatchee School District,3210,Pioneer Middle School,6-8       ,0.26%
04246,Wenatchee School District,3208,Sunnyslope Elementary School,K-5       ,0.38%
04246,Wenatchee School District,2907,Washington Elementary School,K-5       ,0.06%
32363,West Valley School District (Spokane),3538,Centennial Middle School,6-8       ,1.03%
32363,West Valley School District (Spokane),3196,Ness Elementary,1-5       ,0.5%
32363,West Valley School District (Spokane),3129,Orchard Center Elementary,1-5       ,0.7%
32363,West Valley School District (Spokane),3194,Pasadena Park Elementary,1-5       ,0.1%
32363,West Valley School District (Spokane),2956,Seth Woodard Elementary,K-5       ,0.35%
32363,West Valley School District (Spokane),1755,West Valley City School,5-8       ,0.37%
39208,West Valley School District (Yakima),2822,Ahtanum Valley Elementary,K-4       ,0.37%
39208,West Valley School District (Yakima),3699,Apple Valley Elementary,K-4       ,0.62%
39208,West Valley School District (Yakima),4448,Cottonwood Elementary School,K-4       ,1.21%
39208,West Valley School District (Yakima),2758,Mountainview Elementary,K-4       ,0.41%
39208,West Valley School District (Yakima),3207,Summitview Elementary,K-4       ,0.17%
39208,West Valley School District (Yakima),4040,West Valley Jr High,7-8       ,0.86%
39208,West Valley School District (Yakima),4506,West Valley Middle School,5-6       ,0.05%
39208,West Valley School District (Yakima),2505,Wide Hollow Elementary,K-4       ,1.96%
21303,White Pass School District,3555,White Pass Elementary School,K-6       ,1.92%
27416,White River School District,2190,Elk Ridge Elementary,K-5       ,1.42%
27416,White River School District,4309,Foothills Elementary,K-5       ,1.3%
27416,White River School District,3458,Glacier Middle School,6-8       ,1.78%
27416,White River School District,4471,Mountain Meadow Elementary,PK-5      ,0.38%
27416,White River School District,4170,Wilkeson Elementary School,K-5       ,0.29%
20405,White Salmon Valley School District,5368,Wallace & Priscilla Stevenson Intermediate School,4-6       ,0.37%
20405,White Salmon Valley School District,3394,Wayne M Henkle Middle School,7-8       ,0.81%
22200,Wilbur School District,3290,Wilbur Elementary School,K-6       ,0.61%
22200,Wilbur School District,3289,Wilbur Secondary School,7-12      ,0.76%
13167,Wilson Creek School District,2472,Wilson Creek Elementary,K-6       ,1.16%
14117,Wishkah Valley School District,3375,Wishkah Valley Elementary/High School,K-12      ,0.6%
20094,Wishram School District,2605,Wishram High And Elementary Schl,PK-12     ,0.61%
08404,Woodland School District,5408,Woodland Intermediate School,2-4       ,0.75%
08404,Woodland School District,5409,Woodland Middle School,5-8       ,1.05%
08404,Woodland School District,5407,Woodland Primary School,PK-1      ,0.72%
08404,Woodland School District,3513,Yale Elementary,K-5       ,0.93%
39007,Yakima School District,2592,Adams Elementary School,PK-5      ,1.95%
39007,Yakima School District,3138,Barge-Lincoln Elementary School,PK-5      ,2.45%
39007,Yakima School District,3023,Discovery Lab School,1-8       ,1.74%
39007,Yakima School District,2410,Franklin Middle School,6-8       ,4.89%
39007,Yakima School District,2176,Garfield Elementary School,K-5       ,3.33%
39007,Yakima School District,2818,Gilbert Elementary School,K-5       ,2.64%
39007,Yakima School District,2715,Hoover Elementary School,PK-5      ,1.59%
39007,Yakima School District,3615,Lewis & Clark Middle School,6-8       ,3.27%
39007,Yakima School District,3817,Martin Luther King Jr Elementary,K-5       ,3.27%
39007,Yakima School District,2899,Mcclure Elementary School Yakima,PK-5      ,2.72%
39007,Yakima School District,2177,Mckinley Elementary School,K-5       ,1.43%
39007,Yakima School District,2819,Nob Hill Elementary School,K-5       ,1.79%
39007,Yakima School District,2433,Ridgeview Elementary,K-5       ,0.35%
39007,Yakima School District,3264,Robertson Elementary,K-5       ,2.61%
39007,Yakima School District,2529,Roosevelt Elementary School,K-5       ,2.29%
39007,Yakima School District,2314,Washington Middle School,6-8       ,3.15%
39007,Yakima School District,3312,Whitney Elementary Yakima,PK-5      ,2.26%
39007,Yakima School District,3368,Wilson Middle School,6-8       ,3.75%
34002,Yelm School District,4346,Fort Stevens Elementary,PK-6      ,0.75%
34002,Yelm School District,5018,Lackamas Elementary,K-6       ,0.82%
34002,Yelm School District,2260,McKenna Elementary,K-6       ,0.03%
34002,Yelm School District,4451,Mill Pond Elementary School,PK-6      ,0.82%
34002,Yelm School District,5052,Ridgeline Middle School,6-8       ,0.29%
34002,Yelm School District,3848,Southworth Elementary,K-6       ,0.66%
34002,Yelm School District,2481,Yelm Middle School,6-8       ,1.01%
34002,Yelm School District,4224,Yelm Prairie Elementary,PK-6      ,0.36%
39205,Zillah School District,2783,Hilton Elementary School,PK-3      ,0%
39205,Zillah School District,4481,Zillah Middle School,7-8       ,0%
